*******************************************************************************
 Revised: July 31, 2013                  Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Feb 18 09:39:33 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458132.500000000, A.D. 2018-Jan-14 00:00:00.0000, -3.906583797410654E-01,  9.081564174725434E-01, -1.572353524248159E-04, -1.606850673747231E-02, -6.921369205010813E-03,  8.512635548027194E-07,
2458133.500000000, A.D. 2018-Jan-15 00:00:00.0000, -4.066651340799911E-01,  9.010944497147066E-01, -1.563253868167712E-04, -1.594412577658029E-02, -7.202195074158905E-03,  9.655331397791756E-07,
2458134.500000000, A.D. 2018-Jan-16 00:00:00.0000, -4.225448860409057E-01,  8.937527942629101E-01, -1.553111850305349E-04, -1.581450940322353E-02, -7.480720135861403E-03,  1.059123679571125E-06,
2458135.500000000, A.D. 2018-Jan-17 00:00:00.0000, -4.382924242578844E-01,  8.861338252071334E-01, -1.542151687958879E-04, -1.567970751983496E-02, -7.756797948468448E-03,  1.128648000503735E-06,
2458136.500000000, A.D. 2018-Jan-18 00:00:00.0000, -4.539025928248929E-01,  8.782400625076684E-01, -1.530628304648630E-04, -1.553978126391002E-02, -8.030283430693053E-03,  1.171374468655330E-06,
2458137.500000000, A.D. 2018-Jan-19 00:00:00.0000, -4.693703028357817E-01,  8.700741699112394E-01, -1.518820092286362E-04, -1.539480355769450E-02, -8.301034370366316E-03,  1.185363532323816E-06,
2458138.500000000, A.D. 2018-Jan-20 00:00:00.0000, -4.846905442807470E-01,  8.616389512172807E-01, -1.507020343386660E-04, -1.524485926573551E-02, -8.568913172060051E-03,  1.169593965383115E-06,
2458139.500000000, A.D. 2018-Jan-21 00:00:00.0000, -4.998583979231073E-01,  8.529373447743833E-01, -1.495527523720379E-04, -1.509004502339960E-02, -8.833788621516060E-03,  1.124068382660799E-06,
2458140.500000000, A.D. 2018-Jan-22 00:00:00.0000, -5.148690469226336E-01,  8.439724162403457E-01, -1.484634563504992E-04, -1.493046894107163E-02, -9.095537602134147E-03,  1.049907132955657E-06,
2458141.500000000, A.D. 2018-Jan-23 00:00:00.0000, -5.297177881916231E-01,  8.347473495852443E-01, -1.474617166568533E-04, -1.476625038998817E-02, -9.354046944769517E-03,  9.494558231248826E-07,
2458142.500000000, A.D. 2018-Jan-24 00:00:00.0000, -5.444000435956339E-01,  8.252654360089636E-01, -1.465720854265917E-04, -1.459751987963799E-02, -9.609215835346237E-03,  8.264347493814443E-07,
2458143.500000000, A.D. 2018-Jan-25 00:00:00.0000, -5.589113709339063E-01,  8.155300599474866E-01, -1.458146253518450E-04, -1.442441862968472E-02, -9.860959314991674E-03,  6.861389598409182E-07,
2458144.500000000, A.D. 2018-Jan-26 00:00:00.0000, -5.732474739641271E-01,  8.055446808706324E-01, -1.452032272112013E-04, -1.424709687728614E-02, -1.010921321445231E-02,  5.356480833651833E-07,
2458145.500000000, A.D. 2018-Jan-27 00:00:00.0000, -5.874042094988693E-01,  7.953128095284059E-01, -1.447437589737163E-04, -1.406570943874399E-02, -1.035394017485822E-02,  3.839256335506477E-07,
2458146.500000000, A.D. 2018-Jan-28 00:00:00.0000, -6.013775880326099E-01,  7.848379782456004E-01, -1.444322542138614E-04, -1.388040700072563E-02, -1.059513512761290E-02,  2.416010538727905E-07,
2458147.500000000, A.D. 2018-Jan-29 00:00:00.0000, -6.151637632570299E-01,  7.741237072719751E-01, -1.442535773646391E-04, -1.369132270626153E-02, -1.083282706815132E-02,  1.201991441057171E-07,
2458148.500000000, A.D. 2018-Jan-30 00:00:00.0000, -6.287590065757042E-01,  7.631734728400648E-01, -1.441811916932406E-04, -1.349855621240463E-02, -1.106707327728526E-02,  3.070920797202217E-08,
2458149.500000000, A.D. 2018-Jan-31 00:00:00.0000, -6.421596665654249E-01,  7.519906858009566E-01, -1.441786130951602E-04, -1.330216064690088E-02, -1.129794391537755E-02, -1.828366082915182E-08,
2458150.500000000, A.D. 2018-Feb-01 00:00:00.0000, -6.553621196937657E-01,  7.405786896421253E-01, -1.442027088346580E-04, -1.310213916797871E-02, -1.152549956429143E-02, -2.229469752722424E-08,
2458151.500000000, A.D. 2018-Feb-02 00:00:00.0000, -6.683627241220385E-01,  7.289407814811039E-01, -1.442082957601778E-04, -1.289845466177702E-02, -1.174976924421575E-02,  1.826214029279664E-08,
2458152.500000000, A.D. 2018-Feb-03 00:00:00.0000, -6.811577887993986E-01,  7.170802511655954E-01, -1.441529144266914E-04, -1.269104957785779E-02, -1.197073734840157E-02,  9.852769623704804E-08,
2458153.500000000, A.D. 2018-Feb-04 00:00:00.0000, -6.937435641965929E-01,  7.050004270924024E-01, -1.440006155821147E-04, -1.247986788497594E-02, -1.218834334356109E-02,  2.106260291610769E-07,
2458154.500000000, A.D. 2018-Feb-05 00:00:00.0000, -7.061162526943432E-01,  6.927047168217865E-01, -1.437241098131717E-04, -1.226487144652185E-02, -1.240249160795034E-02,  3.453882878674730E-07,
2458155.500000000, A.D. 2018-Feb-06 00:00:00.0000, -7.182720309910399E-01,  6.801966353197193E-01, -1.433053145319761E-04, -1.204604757798154E-02, -1.261306526548462E-02,  4.937570949869562E-07,
2458156.500000000, A.D. 2018-Feb-07 00:00:00.0000, -7.302070760675335E-01,  6.674798197338279E-01, -1.427347840806305E-04, -1.182340907479096E-02, -1.281993859543469E-02,  6.476019377725792E-07,
2458157.500000000, A.D. 2018-Feb-08 00:00:00.0000, -7.419175887842722E-01,  6.545580336823039E-01, -1.420106078582426E-04, -1.159699003150160E-02, -1.302298540089709E-02,  7.999932908786404E-07,
2458158.500000000, A.D. 2018-Feb-09 00:00:00.0000, -7.533998125171948E-01,  6.414351653266468E-01, -1.411372263465043E-04, -1.136684052220090E-02, -1.322208318859319E-02,  9.451280782931207E-07,
2458159.500000000, A.D. 2018-Feb-10 00:00:00.0000, -7.646500467464322E-01,  6.281152229299772E-01, -1.401244125182029E-04, -1.113302204015399E-02, -1.341711423939538E-02,  1.078102044540272E-06,
2458160.500000000, A.D. 2018-Feb-11 00:00:00.0000, -7.756646568359351E-01,  6.146023303438888E-01, -1.389864966409382E-04, -1.089560450493718E-02, -1.360796489014527E-02,  1.194668543618204E-06,
2458161.500000000, A.D. 2018-Feb-12 00:00:00.0000, -7.864400816731996E-01,  6.009007236310381E-01, -1.377418033985640E-04, -1.065466495873956E-02, -1.379452414107821E-02,  1.291064498812046E-06,
2458162.500000000, A.D. 2018-Feb-13 00:00:00.0000, -7.969728407627404E-01,  5.870147490647045E-01, -1.364122122053768E-04, -1.041028772113097E-02, -1.397668240800189E-02,  1.363941725990381E-06,
2458163.500000000, A.D. 2018-Feb-14 00:00:00.0000, -8.072595420390535E-01,  5.729488620593717E-01, -1.350227284670352E-04, -1.016256559541063E-02, -1.415433098350632E-02,  1.410413482481797E-06,
2458164.500000000, A.D. 2018-Feb-15 00:00:00.0000, -8.172968912015516E-01,  5.587076261327478E-01, -1.336009546364436E-04, -9.911601614125812E-03, -1.432736255221016E-02,  1.428204788783708E-06,
2458165.500000000, A.D. 2018-Feb-16 00:00:00.0000, -8.270817028269147E-01,  5.442957107661422E-01, -1.321763709413467E-04, -9.657510751361941E-03, -1.449567287814829E-02,  1.415876294368171E-06,
2458166.500000000, A.D. 2018-Feb-17 00:00:00.0000, -8.366109129424236E-01,  5.297178870356331E-01, -1.307793739007850E-04, -9.400421047383298E-03, -1.465916353297444E-02,  1.373076413855378E-06,
2458167.500000000, A.D. 2018-Feb-18 00:00:00.0000, -8.458815922466235E-01,  5.149790201378404E-01, -1.294400700417688E-04, -9.140473726694147E-03, -1.481774530304882E-02,  1.300770437544529E-06,
2458168.500000000, A.D. 2018-Feb-19 00:00:00.0000, -8.548909588602263E-01,  5.000840583721170E-01, -1.281868708178137E-04, -8.877822134846235E-03, -1.497134178594626E-02,  1.201403212355228E-06,
2458169.500000000, A.D. 2018-Feb-20 00:00:00.0000, -8.636363894524021E-01,  4.850380186231580E-01, -1.270449685867990E-04, -8.612629586139342E-03, -1.511989273269556E-02,  1.078972648078889E-06,
2458170.500000000, A.D. 2018-Feb-21 00:00:00.0000, -8.721154277716080E-01,  4.698459687381059E-01, -1.260347840702047E-04, -8.345066368009900E-03, -1.526335689916506E-02,  9.390149790777483E-07,
2458171.500000000, A.D. 2018-Feb-22 00:00:00.0000, -8.803257898433657E-01,  4.545130073016067E-01, -1.251704673020013E-04, -8.075306082562402E-03, -1.540171441572302E-02,  7.885144556138575E-07,
2458172.500000000, A.D. 2018-Feb-23 00:00:00.0000, -8.882653651530623E-01,  4.390442412362484E-01, -1.244585252252441E-04, -7.803521229822238E-03, -1.553496877589408E-02,  6.357380300185940E-07,
2458173.500000000, A.D. 2018-Feb-24 00:00:00.0000, -8.959322128679809E-01,  4.234447616396569E-01, -1.238966650234474E-04, -7.529877614047222E-03, -1.566314831309120E-02,  4.899594776598761E-07,
2458174.500000000, A.D. 2018-Feb-25 00:00:00.0000, -9.033245516619505E-01,  4.077196186687948E-01, -1.234729998470084E-04, -7.254527080895161E-03, -1.578630644759918E-02,  3.609947852519770E-07,
2458175.500000000, A.D. 2018-Feb-26 00:00:00.0000, -9.104407414092133E-01,  3.918737973666273E-01, -1.231658525049950E-04, -6.977598604633761E-03, -1.590451926606982E-02,  2.584579811632545E-07,
2458176.500000000, A.D. 2018-Feb-27 00:00:00.0000, -9.172792556002659E-01,  3.759121979809621E-01, -1.229444601334086E-04, -6.699188990513237E-03, -1.601787869238757E-02,  1.907091140223968E-07,
2458177.500000000, A.D. 2018-Feb-28 00:00:00.0000, -9.238386453994550E-01,  3.598396257686982E-01, -1.227708391858219E-04, -6.419356044228888E-03, -1.612648034518027E-02,  1.636243838459880E-07,
2458178.500000000, A.D. 2018-Mar-01 00:00:00.0000, -9.301174996402406E-01,  3.436607951517858E-01, -1.226028392355308E-04, -6.138117855065150E-03, -1.623040744815928E-02,  1.795167525996090E-07,
2458179.500000000, A.D. 2018-Mar-02 00:00:00.0000, -9.361144082597922E-01,  3.273803503024219E-01, -1.223980233825579E-04, -5.855460543588085E-03, -1.632971493424727E-02,  2.366282818814628E-07,
2458180.500000000, A.D. 2018-Mar-03 00:00:00.0000, -9.418279374306578E-01,  3.110028992695785E-01, -1.221176439774733E-04, -5.571353388998245E-03, -1.642441909346122E-02,  3.294665810870564E-07,
2458181.500000000, A.D. 2018-Mar-04 00:00:00.0000, -9.472566216677769E-01,  2.945330540760202E-01, -1.217298778414046E-04, -5.285766681639902E-03, -1.651449626142849E-02,  4.499031568825458E-07,
2458182.500000000, A.D. 2018-Mar-05 00:00:00.0000, -9.523989727143090E-01,  2.779754676412627E-01, -1.212117451652564E-04, -4.998686565375257E-03, -1.659989005338782E-02,  5.886233993370453E-07,
2458183.500000000, A.D. 2018-Mar-06 00:00:00.0000, -9.572535000991510E-01,  2.613348607282880E-01, -1.205496109823579E-04, -4.710123212914555E-03, -1.668052328860322E-02,  7.364388585242684E-07,
2458184.500000000, A.D. 2018-Mar-07 00:00:00.0000, -9.618187363029056E-01,  2.446160365811958E-01, -1.197385848064648E-04, -4.420112082932035E-03, -1.675630999577405E-02,  8.851485445934695E-07,
2458185.500000000, A.D. 2018-Mar-08 00:00:00.0000, -9.660932605803637E-01,  2.278238848989584E-01, -1.187813168085794E-04, -4.128710444109297E-03, -1.682716440425793E-02,  1.027894100794198E-06,
2458186.500000000, A.D. 2018-Mar-09 00:00:00.0000, -9.700757181216341E-01,  2.109633788003283E-01, -1.176866446002457E-04, -3.835991964451843E-03, -1.689300596643706E-02,  1.159131901985538E-06,
2458187.500000000, A.D. 2018-Mar-10 00:00:00.0000, -9.737648337748859E-01,  1.940395685569064E-01, -1.164683850278496E-04, -3.542041521419232E-03, -1.695376096646421E-02,  1.274399918436603E-06,
2458188.500000000, A.D. 2018-Mar-11 00:00:00.0000, -9.771594212163079E-01,  1.770575749484391E-01, -1.151443963940113E-04, -3.246951407466063E-03, -1.700936187172175E-02,  1.370031143512514E-06,
2458189.500000000, A.D. 2018-Mar-12 00:00:00.0000, -9.802583892147628E-01,  1.600225839046036E-01, -1.137359098363150E-04, -2.950819335105557E-03, -1.705974558567067E-02,  1.442914615511780E-06,
2458190.500000000, A.D. 2018-Mar-13 00:00:00.0000, -9.830607467951592E-01,  1.429398430398432E-01, -1.122670504741189E-04, -2.653748198549761E-03, -1.710485154730844E-02,  1.490361659580132E-06,
2458191.500000000, A.D. 2018-Mar-14 00:00:00.0000, -9.855656089335895E-01,  1.258146598509405E-01, -1.107644268386417E-04, -2.355847315524540E-03, -1.714462041546205E-02,  1.510106026636072E-06,
2458192.500000000, A.D. 2018-Mar-15 00:00:00.0000, -9.877722040572358E-01,  1.086524006871502E-01, -1.092566490915182E-04, -2.057234706871310E-03, -1.717899392640935E-02,  1.500445821983986E-06,
2458193.500000000, A.D. 2018-Mar-16 00:00:00.0000, -9.896798840891609E-01,  9.145848908530763E-02, -1.077736392338670E-04, -1.758039784351718E-03, -1.720791636312287E-02,  1.460513044720649E-06,
2458194.500000000, A.D. 2018-Mar-17 00:00:00.0000, -9.912881370452808E-01,  7.423840173579717E-02, -1.063456246005339E-04, -1.458405613595748E-03, -1.723133782745779E-02,  1.390627494849252E-06,
2458195.500000000, A.D. 2018-Mar-18 00:00:00.0000, -9.925966012852855E-01,  5.699766034306199E-02, -1.050017658237752E-04, -1.158489801033156E-03, -1.724921910167981E-02,  1.292658612611764E-06,
2458196.500000000, A.D. 2018-Mar-19 00:00:00.0000, -9.936050796022216E-01,  3.974181811182867E-02, -1.037684605185178E-04, -8.584631728410329E-04, -1.726153737176369E-02,  1.170294569077939E-06,
2458197.500000000, A.D. 2018-Mar-20 00:00:00.0000, -9.943135507005165E-01,  2.247644055171958E-02, -1.026674661773008E-04, -5.585058623575542E-04, -1.726829165192840E-02,  1.029120583298246E-06,
2458198.500000000, A.D. 2018-Mar-21 00:00:00.0000, -9.947221755617510E-01,  5.207081540637263E-03, -1.017140671545705E-04, -2.588011084454974E-04, -1.726950664816326E-02,  8.764475876216008E-07,
2458199.500000000, A.D. 2018-Mar-22 00:00:00.0000, -9.948312968353086E-01, -1.206074329131781E-02, -1.009155384169831E-04,  4.047230106638650E-05, -1.726523415284740E-02,  7.208964870057909E-07,
2458200.500000000, A.D. 2018-Mar-23 00:00:00.0000, -9.946414304930705E-01, -2.932158320553592E-02, -1.002701224021551E-04,  3.391477521295081E-04, -1.725555172164105E-02,  5.718015390603549E-07,
2458201.500000000, A.D. 2018-Mar-24 00:00:00.0000, -9.941532500998644E-01, -4.657007644500271E-02, -9.976665673386859E-05,  6.370777265039299E-04, -1.724055897921553E-02,  4.385192009919347E-07,
2458202.500000000, A.D. 2018-Mar-25 00:00:00.0000, -9.933675647884848E-01, -6.380096968050979E-02, -9.938491024392269E-05,  9.341394242566131E-04, -1.722037211216111E-02,  3.297113152345686E-07,
2458203.500000000, A.D. 2018-Mar-26 00:00:00.0000, -9.922852923408804E-01, -8.100913121074532E-02, -9.909663249839856E-05,  1.230238904173568E-03, -1.719511691813566E-02,  2.526388771871318E-07,
2458204.500000000, A.D. 2018-Mar-27 00:00:00.0000, -9.909074289715450E-01, -9.818955653341378E-02, -9.886729440554014E-05,  1.525313462365061E-03, -1.716492050331310E-02,  2.124915714619181E-07,
2458205.500000000, A.D. 2018-Mar-28 00:00:00.0000, -9.892350178841279E-01, -1.153373649851642E-01, -9.865846036842318E-05,  1.819331555100768E-03, -1.712990178352897E-02,  2.118089874349061E-07,
2458206.500000000, A.D. 2018-Mar-29 00:00:00.0000, -9.872691195423606E-01, -1.324477865691880E-01, -9.843064880829644E-05,  2.112289289931161E-03, -1.709016156375187E-02,  2.501056555048729E-07,
2458207.500000000, A.D. 2018-Mar-30 00:00:00.0000, -9.850107874524598E-01, -1.495161393231153E-01, -9.814640562856576E-05,  2.404202891630151E-03, -1.704577388979105E-02,  3.238429215493634E-07,
2458208.500000000, A.D. 2018-Mar-31 00:00:00.0000, -9.824610533016473E-01, -1.665377996015909E-01, -9.777318824148443E-05,  2.695097756396674E-03, -1.699678088832692E-02,  4.268427474046402E-07,
2458209.500000000, A.D. 2018-Apr-01 00:00:00.0000, -9.796209239206071E-01, -1.835081696943412E-01, -9.728562366582091E-05,  2.984996204311867E-03, -1.694319276635348E-02,  5.511059563359759E-07,
2458210.500000000, A.D. 2018-Apr-02 00:00:00.0000, -9.764913899302425E-01, -2.004226481330897E-01, -9.666681998036776E-05,  3.273906841641602E-03, -1.688499303877794E-02,  6.878459392782759E-07,
2458211.500000000, A.D. 2018-Apr-03 00:00:00.0000, -9.730734431745816E-01, -2.172766071764267E-01, -9.590864659948023E-05,  3.561817910191874E-03, -1.682214725062471E-02,  8.284734884653700E-07,
2458212.500000000, A.D. 2018-Apr-04 00:00:00.0000, -9.693680983998216E-01, -2.340653796522053E-01, -9.501114984622129E-05,  3.848695429256409E-03, -1.675461251262868E-02,  9.653142984179958E-07,
2458213.500000000, A.D. 2018-Apr-05 00:00:00.0000, -9.653764146918695E-01, -2.507842547115160E-01, -9.398142850138191E-05,  4.134485292182347E-03, -1.668234547200102E-02,  1.091968201283469E-06,
2458214.500000000, A.D. 2018-Apr-06 00:00:00.0000, -9.610995135547274E-01, -2.674284801891745E-01, -9.283231774268022E-05,  4.419117571759538E-03, -1.660530744849419E-02,  1.203347561713049E-06,
2458215.500000000, A.D. 2018-Apr-07 00:00:00.0000, -9.565385923331836E-01, -2.839932685999580E-01, -9.158115027796725E-05,  4.702511264369898E-03, -1.652346663027212E-02,  1.295505555993238E-06,
2458216.500000000, A.D. 2018-Apr-08 00:00:00.0000, -9.516949332259940E-01, -3.004738041094125E-01, -9.024874225159178E-05,  4.984578205864009E-03, -1.643679796857908E-02,  1.365377577565192E-06,
2458217.500000000, A.D. 2018-Apr-09 00:00:00.0000, -9.465699090977637E-01, -3.168652486258375E-01, -8.885863809605499E-05,  5.265225490596064E-03, -1.634528168084601E-02,  1.410535965589480E-06,
2458218.500000000, A.D. 2018-Apr-10 00:00:00.0000, -9.411649877236518E-01, -3.331627460755375E-01, -8.743656410526346E-05,  5.544356178633132E-03, -1.624890125462906E-02,  1.429026947553333E-06,
2458219.500000000, A.D. 2018-Apr-11 00:00:00.0000, -9.354817361637213E-01, -3.493614247666432E-01, -8.600998489995923E-05,  5.821868357787861E-03, -1.614764174577318E-02,  1.419333564558376E-06,
2458220.500000000, A.D. 2018-Apr-12 00:00:00.0000, -9.295218267940866E-01, -3.654563985019988E-01, -8.460762262019363E-05,  6.097652830516611E-03, -1.604148909599844E-02,  1.380490142084672E-06,
2458221.500000000, A.D. 2018-Apr-13 00:00:00.0000, -9.232870461373288E-01, -3.814427678064432E-01, -8.325878225938858E-05,  6.371589940279550E-03, -1.593043115222771E-02,  1.312354449689936E-06,
2458222.500000000, A.D. 2018-Apr-14 00:00:00.0000, -9.167793069517679E-01, -3.973156232661607E-01, -8.199233483877481E-05,  6.643546407551402E-03, -1.581446094244521E-02,  1.216011959095604E-06,
2458223.500000000, A.D. 2018-Apr-15 00:00:00.0000, -9.100006629601021E-01, -4.130700533695469E-01, -8.083525945956910E-05,  6.913373459624222E-03, -1.569358238019128E-02,  1.094236048800756E-06,
2458224.500000000, A.D. 2018-Apr-16 00:00:00.0000, -9.029533241648779E-01, -4.287011590631960E-01, -7.981075199096830E-05,  7.180907778448544E-03, -1.556781781007871E-02,  9.518669983555777E-07,
